iter	Passed	Remaining
544	29544	24665
545	29603	24615
546	29663	24565
547	29723	24516
548	29785	24468
549	29846	24420
550	29901	24365
551	29960	24316
552	30022	24267
553	30072	24209
554	30127	24156
555	30178	24099
556	30228	24041
557	30278	23983
558	30328	23926
559	30377	23868
560	30425	23809
561	30474	23750
562	30525	23694
563	30575	23636
564	30627	23580
565	30676	23522
566	30726	23465
567	30784	23413
568	30837	23358
569	30890	23303
570	30943	23248
571	30997	23194
572	31051	23139
573	31098	23080
574	31149	23023
575	31200	22966
576	31255	22913
577	31309	22859
578	31362	22804
579	31472	22790
580	31529	22737
581	31584	22684
582	31634	22627
583	31685	22570
584	31743	22518
585	31793	22461
586	31845	22405
587	31893	22347
588	31953	22297
589	32007	22242
590	32061	22188
591	32118	22135
592	32181	22087
593	32236	22033
594	32292	21980
595	32345	21925
596	32396	21869
597	32451	21815
598	32508	21762
599	32568	21712
600	32628	21661
601	32679	21605
602	32730	21548
603	32781	21492
604	32836	21438
605	32884	21380
606	32934	21323
607	32989	21269
608	33051	21220
609	33107	21167
610	33163	21114
611	33216	21058
612	33268	21003
613	33327	20951
614	33388	20901
615	33447	20850
616	33500	20795
617	33557	20742
618	33613	20689
619	33664	20633
620	33714	20576
621	33772	20524
622	33820	20466
623	33874	20411
624	33923	20353
625	33977	20299
626	34025	20241
627	34075	20184
628	34129	20130
629	34182	20075
630	34230	20017
631	34281	19961
632	34331	19904
633	34380	19847
634	34431	19791
635	34481	19734
636	34530	19677
637	34580	19620
638	34632	19565
639	34682	19508
640	34732	19452
641	34782	19395
642	34831	19338
643	34880	19281
644	34934	19227
645	34982	19169
646	35033	19113
647	35082	19057
648	35136	19002
649	35185	18945
650	35237	18890
651	35285	18833
652	35339	18779
653	35390	18723
654	35441	18667
655	35491	18611
656	35542	18555
657	35595	18500
658	35644	18444
659	35696	18389
660	35745	18332
661	35799	18278
662	35847	18221
663	35899	18165
664	35947	18108
665	36000	18054
666	36049	17997
667	36101	17942
668	36152	17886
669	36202	17830
670	36256	17776
671	36306	17720
672	36356	17664
673	36406	17609
674	36456	17553
675	36506	17496
676	36563	17444
677	36613	17388
678	36664	17333
679	36714	17277
680	36770	17224
681	36820	17168
682	36871	17113
683	36924	17058
684	36977	17004
685	37031	16950
686	37080	16893
687	37134	16840
688	37186	16785
689	37259	16739
690	37311	16684
691	37364	16630
692	37414	16574
693	37475	16523
694	37535	16472
695	37598	16422
696	37660	16371
697	37721	16320
698	37788	16272
699	37843	16218
700	37892	16162
701	37944	16107
702	37992	16050
703	38041	15994
704	38092	15939
705	38147	15885
706	38203	15832
707	38257	15778
708	38308	15723
709	38364	15669
710	38422	15617
711	38478	15564
712	38528	15508
713	38577	15452
714	38628	15397
715	38678	15341
716	38726	15285
717	38776	15229
718	38828	15174
719	38878	15119
720	38930	15064
721	38982	15009
722	39033	14954
723	39093	14903
724	39151	14850
725	39202	14795
726	39254	14740
727	39302	14684
728	39356	14630
729	39408	14575
730	39462	14521
731	39516	14467
732	39571	14414
733	39622	14359
734	39671	14303
735	39720	14247
736	39780	14195
737	39835	14142
738	39888	14087
739	39938	14032
740	39993	13978
741	40043	13923
742	40094	13868
743	40144	13813
744	40196	13758
745	40246	13703
746	40294	13647
747	40345	13592
748	40396	13537
749	40461	13487
750	40519	13434
751	40576	13381
752	40639	13330
753	40701	13279
754	40762	13227
755	40825	13176
756	40878	13122
757	40929	13067
758	40986	13014
759	41042	12960
760	41095	12906
761	41149	12852
762	41202	12798
763	41254	12743
764	41307	12689
765	41358	12634
766	41417	12581
767	41472	12528
768	41521	12472
769	41575	12418
770	41628	12364
771	41680	12309
772	41736	12256
773	41785	12201
774	41837	12146
775	41887	12091
776	41938	12036
777	41987	11980
778	42041	11926
779	42091	11871
780	42139	11816
781	42190	11761
782	42244	11707
783	42293	11652
784	42345	11597
785	42394	11542
786	42450	11489
787	42509	11436
788	42578	11386
789	42714	11354
790	42793	11307
791	42860	11256
792	42925	11205
793	42985	11152
794	43050	11101
795	43124	11052
796	43192	11001
797	43268	10952
798	43325	10899
799	43381	10845
800	43442	10792
801	43511	10742
802	43579	10691
803	43649	10640
804	43709	10587
805	43784	10538
806	43848	10486
807	43913	10434
808	43970	10381
809	44024	10326
810	44096	10276
811	44173	10227
812	44231	10173
813	44284	10119
814	44338	10064
815	44396	10010
816	44450	9956
817	44510	9903
818	44564	9848
819	44614	9793
820	44665	9738
821	44722	9684
822	44772	9629
823	44823	9573
824	44870	9518
825	44926	9463
826	44996	9412
827	45048	9357
828	45100	9302
829	45161	9249
830	45213	9195
831	45267	9140
832	45322	9086
833	45387	9033
834	45444	8980
835	45494	8924
836	45544	8869
837	45595	8814
838	45644	8758
839	45694	8703
840	45743	8648
841	45798	8594
842	45859	8540
843	45921	8487
844	45990	8436
845	46068	8386
846	46183	8342
847	46249	8289
848	46304	8235
849	46358	8180
850	46411	8126
851	46467	8071
852	46520	8016
853	46577	7962
