iter	Passed	Remaining
610	37068	23600
611	37121	23534
612	37181	23473
613	37235	23408
614	37286	23341
615	37342	23278
616	37405	23219
617	37466	23158
618	37534	23103
619	37612	23052
620	37675	22993
621	37737	22933
622	37797	22872
623	37853	22808
624	37907	22744
625	37957	22677
626	38007	22610
627	38062	22546
628	38115	22481
629	38170	22417
630	38224	22353
631	38278	22288
632	38333	22224
633	38383	22158
634	38435	22093
635	38493	22030
636	38546	21966
637	38605	21904
638	38662	21842
639	38713	21776
640	38771	21714
641	38828	21651
642	38878	21585
643	38935	21523
644	38992	21461
645	39045	21396
646	39099	21332
647	39154	21269
648	39209	21205
649	39267	21143
650	39325	21082
651	39383	21020
652	39438	20957
653	39494	20894
654	39578	20846
655	39662	20798
656	39729	20741
657	39799	20686
658	39860	20625
659	39924	20567
660	39978	20503
661	40031	20438
662	40095	20380
663	40156	20320
664	40212	20257
665	40272	20196
666	40336	20137
667	40393	20075
668	40455	20015
669	40509	19952
670	40571	19892
671	40630	19831
672	40686	19768
673	40738	19704
674	40804	19646
675	40863	19585
676	40921	19524
677	40981	19463
678	41046	19405
679	41100	19341
680	41156	19278
681	41216	19218
682	41270	19154
683	41334	19096
684	41391	19034
685	41452	18973
686	41516	18915
687	41578	18855
688	41637	18794
689	41695	18732
690	41759	18673
691	41826	18616
692	41881	18553
693	41935	18490
694	41996	18429
695	42053	18368
696	42108	18305
697	42163	18242
698	42228	18184
699	42292	18125
700	42349	18063
701	42411	18003
702	42490	17951
703	42618	17918
704	42697	17866
705	42761	17807
706	42819	17745
707	42875	17683
708	42930	17620
709	42992	17560
710	43051	17499
711	43112	17438
712	43166	17375
713	43233	17317
714	43290	17255
715	43345	17193
716	43407	17132
717	43464	17070
718	43519	17008
719	43573	16945
720	43626	16881
721	43693	16823
722	43753	16763
723	43808	16700
724	43869	16639
725	43931	16580
726	43988	16518
727	44042	16455
728	44095	16392
729	44156	16331
730	44217	16271
731	44277	16210
732	44343	16152
733	44401	16091
734	44463	16031
735	44516	15967
736	44571	15905
737	44636	15846
738	44692	15784
739	44747	15721
740	44809	15662
741	44870	15602
742	44926	15539
743	44979	15476
744	45033	15414
745	45091	15352
746	45153	15292
747	45207	15230
748	45262	15167
749	45323	15107
750	45381	15046
751	45437	14984
752	45494	14923
753	45552	14862
754	45608	14800
755	45665	14738
756	45721	14676
757	45779	14615
758	45842	14555
759	45897	14493
760	45954	14432
761	46016	14372
762	46076	14311
763	46131	14249
764	46188	14188
765	46265	14133
766	46324	14072
767	46377	14009
768	46437	13949
769	46505	13891
770	46563	13830
771	46622	13769
772	46677	13707
773	46740	13647
774	46801	13587
775	46855	13525
776	46913	13464
777	46972	13403
778	47030	13342
779	47085	13280
780	47145	13220
781	47207	13160
782	47266	13099
783	47322	13037
784	47377	12976
785	47439	12916
786	47496	12854
787	47553	12793
788	47609	12732
789	47664	12670
790	47718	12608
791	47772	12546
792	47824	12483
793	47886	12423
794	47941	12362
795	47997	12300
796	48054	12239
797	48110	12178
798	48166	12116
799	48220	12055
800	48273	11992
801	48330	11931
802	48387	11871
803	48439	11808
804	48497	11747
805	48558	11687
806	48620	11628
807	48677	11566
808	48729	11504
809	48795	11445
810	48850	11384
811	48902	11322
812	48956	11260
813	49017	11200
814	49074	11139
815	49130	11078
816	49188	11017
817	49253	10958
818	49317	10899
819	49370	10837
820	49431	10777
821	49497	10718
822	49560	10658
823	49618	10598
824	49680	10538
825	49738	10477
826	49792	10416
827	49849	10355
828	49904	10293
829	49961	10233
830	50017	10172
831	50074	10111
832	50128	10049
833	50193	9990
834	50253	9930
835	50313	9870
836	50376	9810
837	50436	9750
838	50491	9689
839	50551	9628
840	50609	9568
841	50664	9507
842	50726	9447
843	50782	9386
844	50841	9326
845	50909	9267
846	50969	9207
847	51026	9146
848	51091	9086
849	51151	9026
850	51209	8966
851	51264	8905
852	51323	8844
853	51379	8783
854	51435	8722
855	51488	8661
856	51543	8600
857	51603	8540
858	51656	8479
859	51710	8417
860	51776	8358
861	51840	8299
862	51891	8237
863	51944	8176
864	52001	8115
865	52065	8056
866	52116	7994
867	52170	7933
868	52232	7873
869	52343	7821
870	52405	7761
871	52485	7704
872	52552	7645
873	52636	7588
874	52698	7528
875	52778	7470
876	52847	7411
877	52919	7353
878	52992	7294
879	53064	7236
880	53131	7176
881	53202	7117
882	53271	7058
883	53342	6999
884	53407	6939
885	53475	6880
886	53542	6821
887	53611	6761
888	53687	6703
889	53755	6643
890	53816	6583
891	53893	6525
892	53955	6465
893	54015	6404
894	54078	6344
895	54157	6286
896	54239	6228
897	54377	6176
898	54484	6121
899	54620	6068
900	54733	6014
901	54833	5957
902	54987	5906
903	55137	5855
904	55224	5797
905	55302	5737
906	55381	5678
907	55446	5617
908	55526	5558
909	55606	5499
910	55689	5440
911	55760	5380
912	55829	5320
913	55908	5260
914	55980	5200
915	56136	5147
916	56233	5089
917	56310	5029
918	56407	4971
919	56520	4914
920	56610	4855
921	56704	4797
922	56778	4736
923	56837	4674
924	56919	4615
925	56993	4554
926	57082	4495
927	57165	4435
928	57258	4376
929	57336	4315
930	57413	4255
931	57497	4195
932	57563	4133
933	57653	4074
934	57726	4013
935	57799	3952
936	57856	3890
937	57932	3829
938	57998	3767
939	58064	3706
940	58190	3648
941	58308	3590
942	58393	3529
943	58483	3469
944	58554	3407
945	58631	3346
946	58725	3286
947	58797	3225
948	58875	3163
949	58956	3102
950	59017	3040
951	59076	2978
952	59142	2916
953	59211	2855
954	59265	2792
955	59324	2730
956	59383	2668
957	59452	2606
958	59509	2544
959	59572	2482
960	59631	2420
961	59692	2357
962	59763	2296
963	59843	2234
964	59907	2172
965	59966	2110
966	60029	2048
967	60091	1986
968	60153	1924
969	60212	1862
970	60282	1800
971	60349	1738
972	60425	1676
973	60490	1614
974	60557	1552
975	60628	1490
976	60695	1428
977	60755	1366
978	60822	1304
979	60886	1242
980	60953	1180
981	61009	1118
982	61080	1056
983	61143	994
984	61211	932
985	61285	870
986	61350	808
987	61418	745
988	61488	683
989	61553	621
990	61622	559
991	61704	497
992	61769	435
993	61849	373
994	61912	311
995	61982	248
996	62053	186
997	62112	124
998	62170	62
999	62239	0
